Português,Inglês,Italiano,Espanhol,Alemão,Francês,Mandarim
Vamos começar a reunião.,Let's start the meeting.,Iniziamo la riunione.,Comencemos la reunión.,Lass uns das Meeting starten.,Commençons la réunion.,让我们开始会议。
Qual é a agenda de hoje?,What is today's agenda?,Qual è l'agenda di oggi?,¿Cuál es la agenda de hoy?,Was ist die Tagesordnung heute?,Quel est l'ordre du jour aujourd'hui?,今天的议程是什么？
Precisamos discutir o orçamento.,We need to discuss the budget.,Dobbiamo discutere il budget.,Necesitamos discutir el presupuesto.,Wir müssen das Budget besprechen.,Nous devons discuter du budget.,我们需要讨论预算。
Como está o progresso do projeto?,How is the project progressing?,Come sta andando il progetto?,¿Cómo va el progreso del proyecto?,Wie läuft das Projekt?,Comment progresse le projet?,项目进展如何？
Temos que cumprir os prazos.,We need to meet the deadlines.,Dobbiamo rispettare le scadenze.,Tenemos que cumplir con los plazos.,Wir müssen die Fristen einhalten.,Nous devons respecter les délais.,我们需要按时完成任务。
Qual é a sua opinião sobre isso?,What is your opinion on this?,Qual è la tua opinione su questo?,¿Cuál es tu opinión sobre esto?,Was ist deine Meinung dazu?,Quelle est votre opinion à ce sujet?,您对此有何看法？
Estou ansioso para colaborar com você.,I look forward to collaborating with you.,Non vedo l'ora di collaborare con te.,Espero con ansias colaborar contigo.,Ich freue mich auf die Zusammenarbeit mit dir.,J'ai hâte de collaborer avec vous.,期待与您合作。
Podemos agendar uma reunião?,Can we schedule a meeting?,Possiamo fissare un incontro?,¿Podemos programar una reunión?,Können wir ein Meeting planen?,Pouvons-nous programmer une réunion?,我们可以安排一个会议吗？
Precisamos de mais informações.,We need more information.,Abbiamo bisogno di più informazioni.,Necesitamos más información.,Wir brauchen mehr Informationen.,Nous avons besoin de plus d'informations.,我们需要更多的信息。
Este projeto é uma prioridade.,This project is a priority.,Questo progetto è una priorità.,Este proyecto es una prioridad.,Dieses Projekt hat Priorität.,Ce projet est une priorité.,这个项目是一个优先事项。
Você pode me enviar o relatório?,Can you send me the report?,Puoi inviarmi il rapporto?,¿Puedes enviarme el informe?,Kannst du mir den Bericht schicken?,Pouvez-vous m'envoyer le rapport?,您可以把报告发给我吗？
Vamos revisar os resultados da pesquisa.,Let's review the research results.,Rivediamo i risultati della ricerca.,Revisemos los resultados de la investigación.,Lass uns die Forschungsergebnisse überprüfen.,Révisons les résultats de la recherche.,让我们回顾一下研究结果。
Estamos enfrentando alguns desafios.,We are facing some challenges.,Stiamo affrontando alcune sfide.,Estamos enfrentando algunos desafíos.,Wir stehen vor einigen Herausforderungen.,Nous faisons face à quelques défis.,我们面临一些挑战。
O que você acha que devemos fazer?,What do you think we should do?,Cosa pensi che dovremmo fare?,¿Qué crees que deberíamos hacer?,"Was denkst du, sollten wir tun?",Que pensez-vous que nous devrions faire?,您认为我们应该做什么？
Precisamos aumentar nossas vendas.,We need to increase our sales.,Dobbiamo aumentare le nostre vendite.,Necesitamos aumentar nuestras ventas.,Wir müssen unsere Verkäufe steigern.,Nous devons augmenter nos ventes.,我们需要提高销售额。
Agradeço pela sua ajuda.,Thank you for your help.,Grazie per il tuo aiuto.,Gracias por tu ayuda.,Danke für deine Hilfe.,Merci pour votre aide.,感谢您的帮助。
Temos que analisar os dados cuidadosamente.,We need to analyze the data carefully.,Dobbiamo analizzare i dati attentamente.,Necesitamos analizar los datos cuidadosamente.,Wir müssen die Daten sorgfältig analysieren.,Nous devons analyser les données avec soin.,我们需要仔细分析数据。
Essa estratégia não está funcionando bem.,This strategy is not working well.,Questa strategia non sta funzionando bene.,Esta estrategia no está funcionando bien.,Diese Strategie funktioniert nicht gut.,Cette stratégie ne fonctionne pas bien.,这个策略效果不好。
Vamos nos concentrar nas metas de longo prazo.,Let's focus on long-term goals.,Concentriamoci sugli obiettivi a lungo termine.,Concentrémonos en los objetivos a largo plazo.,Lass uns auf langfristige Ziele konzentrieren.,Concentrons-nous sur les objectifs à long terme.,让我们专注于长期目标。
Estou aqui para ajudar em qualquer coisa que precisar.,I'm here to help with anything you need.,Sono qui per aiutarti in qualsiasi cosa tu abbia bisogno.,Estoy aquí para ayudar en lo que necesites.,"Ich bin hier, um dir bei allem zu helfen, was du brauchst.",Je suis ici pour vous aider dans tout ce dont vous avez besoin.,我在这里为您提供任何需要的帮助。
